城市	抓取数目
固原 	0
馆陶 	0
潜江 	1
阿拉尔 	0
广州 	2974
清镇 	1215
贵港 	128
广安 	292
辽阳 	279
桂林 	656
泰州 	719
太原 	2946
台湾 	1
铜仁 	2
唐山 	959
驻马店 	84
铁岭 	392
天门 	1
天津 	2964
通化 	351
临猗 	0
铜川 	1
肥城 	1112
漳州 	520
五家渠 	1
果洛 	1
迪庆 	0
珠海 	2920
资阳 	283
扬中市 	945
周口 	152
正定 	0
自贡 	157
淄博 	1238
诸城 	159
赵县 	0
遵义 	585
荥阳 	2944
甘南 	0
郴州 	289
中卫 	1
肇庆 	459
中山 	1675
内江 	360
绥化 	202
宜春 	82
宿迁 	758
宿州 	240
禹州 	17
乌海 	97
昌都 	0
辛集 	2903
亳州 	251
阿克苏 	120
长治 	610
日喀则 	0
伊春 	0
常德 	479
池州 	186
天长 	220
巴音郭楞 	51
黔东南 	0
佳木斯 	338
黄南 	0
黑河 	0
张家口 	95
明港 	0
茂名 	531
湛江 	462
眉山 	370
景德镇 	310
绵阳 	518
梅州 	455
玉环 	1197
四平 	109
松原 	259
永新 	0
佛山 	2948
阜新 	44
阜阳 	725
长乐 	2970
神农架 	0
深圳 	2974
万宁 	1147
上虞 	917
上饶 	100
商丘 	823
辽源 	62
汕尾 	116
常熟 	2961
汕头 	1215
上海 	2982
遂宁 	171
三明 	297
商洛 	0
韶关 	544
顺德 	180
宁国 	238
吴忠 	2
乌鲁木齐 	2934
芜湖 	474
文安 	1235
娄底 	63
乐山 	766
来宾 	3
临清 	577
六安 	404
晋中 	92
丽江 	279
漯河 	627
丽水 	30
莱芜 	408
泸州 	346
拉萨 	162
崇左 	0
兰州 	1476
临夏 	0
新安 	865
宜昌 	578
营口 	142
阳江 	274
榆林 	70
雅安 	1
宜宾 	208
云浮 	49
岳阳 	421
玉溪 	102
宝应 	1081
秦皇岛 	664
阳泉 	67
玉树 	0
玉林 	145
海阳 	1220
义乌 	218
延安 	143
牡丹江 	597
海拉尔 	0
鄂州 	206
葫芦岛 	80
恩施 	198
三门峡 	29
贺州 	0
日照 	788
瑞安 	0
呼和浩特 	1626
克拉玛依 	115
沭阳 	98
天水 	169
十堰 	605
朔州 	148
咸阳 	80
张家界 	133
仙桃 	2
咸宁 	240
运城 	411
湘潭 	273
乐清 	0
定州 	44
枣庄 	984
西宁 	293
永州 	240
锡林郭勒盟 	0
厦门 	2903
许昌 	260
户县 	2969
孝感 	274
三沙 	0
徐州 	1215
新乡 	402
襄阳 	434
菏泽 	248
鹰潭 	114
邢台 	120
银川 	541
忻州 	225
呼伦贝尔 	232
益阳 	57
凉山 	46
惠州 	1837
安康 	202
昭通 	71
安顺 	39
克孜勒苏 	0
临汾 	211
阿拉善盟 	0
白山 	114
防城港 	48
博尔塔拉 	21
桐城 	0
喀什 	161
开封 	681
六盘水 	89
安宁 	2961
垦利 	0
昆山 	1684
阳春 	36
延边 	484
鄢陵 	0
百色 	0
石嘴山 	199
林芝 	0
长丰 	2971
五指山 	1
大连 	2721
承德 	631
德宏 	1
大丰 	0
东莞 	2351
丹东 	515
德阳 	575
大理 	613
德州 	982
定西 	31
东营 	456
大同 	620
肇源 	493
衢州 	471
清远 	906
清徐 	0
石河子 	102
石狮 	1269
平度 	2932
宝鸡 	1229
曲靖 	449
山南 	0
黔南 	0
齐齐哈尔 	354
七台河 	3
巴彦淖尔市 	247
寿光 	1665
嘉兴 	1286
揭阳 	316
锦州 	544
渭南 	36
酒泉 	120
武汉 	2986
昌邑 	676
江门 	941
商河 	2944
文山 	140
济宁 	1879
黄石 	696
温州 	1633
晋城 	613
平顶山 	624
梧州 	324
陇南 	0
吐鲁番 	0
金华 	967
昌吉 	107
巢湖 	200
台山 	1
铜陵 	182
长春 	2358
长葛 	0
赤峰 	491
金堂 	2977
溧阳 	2066
朝阳 	240
楚雄 	204
宁乡 	2961
合川 	2976
张北 	0
莆田 	370
萍乡 	404
濮阳 	452
吉安 	467
太仓 	0
盐城 	582
兴安盟 	105
普洱 	99
盘锦 	341
张掖 	0
无锡 	2959
平凉 	3
甘孜 	1
阿里 	0
赣州 	522
图木舒克 	0
抚州 	93
瓦房店 	0
伊犁 	174
济源 	110
武威 	92
沧州 	721
攀枝花 	180
鄂尔多斯 	316
红河 	221
邵阳 	316
双鸭山 	1
阿坝 	0
武夷山 	0
柳州 	1264
广元 	134
南充 	1074
香港 	0
白沙县 	2598
汉中 	519
威海 	1320
毕节 	2
黔西南 	0
嘉峪关 	1
大兴安岭 	0
海北 	0
海东 	0
新民 	2963
海南 	0
乌兰察布 	127
信阳 	290
保定 	1049
湘西 	30
巴中 	204
蚌埠 	819
白城 	94
西双版纳 	9
北海 	337
北京 	2996
包头 	1402
庄河 	0
保山 	16
本溪 	65
白银 	123
滨州 	1910
庆阳 	600
黄山 	387
达州 	468
焦作 	371
马鞍山 	508
荆门 	174
金昌 	0
荆州 	711
和县 	0
龙岩 	345
鹤岗 	94
哈尔滨 	2269
随州 	137
淮北 	208
建德 	2970
海西 	1
衡阳 	510
临沂 	2344
衡水 	423
霍邱 	0
和田 	0
德清 	914
怀化 	206
淮南 	729
鹤壁 	256
河池 	0
淮安 	1404
临沧 	0
黄冈 	340
邯郸 	476
河源 	162
章丘 	88
株洲 	237
吕梁 	1
九江 	506
钦州 	136
澳门 	0
潮州 	164
安庆 	1284
鞍山 	451
东海 	804
安阳 	637
鸡西 	53
通辽 	170
哈密 	179
南京 	2970
横县 	2676
象山 	2300
进贤 	2237
宁德 	222
南阳 	985
南平 	135
那曲 	0
启东 	1229
怒江 	0
舟山 	81
新余 	152
抚顺 	44
